case	rows	batch	fanout	engine	repetition	state	source	metric	value	unit	unavailable_reason
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	input_hash	a8b718bfdf4b6544b12c8b19ec9749475b65d133a003a28e7e00d106c30b41c1		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	output_bytes	24		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	output_rows	4		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	query_compute_ms	0.009334		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	state	root_restore		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	update_plus_query_ms	0.09891699999999999		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	update_transaction_ms	0.089583		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	root_restore	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	affected_rows	1		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	checksum	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	input_hash	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	output_bytes	18		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	output_rows	3		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	query_compute_ms	0.007500000000000001		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	state	cycle_break		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	update_plus_query_ms	0.158583		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	update_transaction_ms	0.151083		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	cycle_break	receipt	fanout	10		
